label,tcc,tt_ccu,x_phi,y_eta,status
EB-11,47,60,220.0,-71.0,1.0
EB-09,45,55,175.0,-66.0,1.0
EB-10,46,43,195.0,-51.0,1.0
EB-13,49,38,250.0,-46.0,1.0
EB-05,41,21,85.0,-26.0,1.0
EB-02,38,13,25.0,-16.0,1.0
EB-16,52,15,315.0,-16.0,1.0
EB-03,39,7,55.0,-6.0,1.0
EB-12,48,5,225.0,-6.0,1.0
EB+06,60,6,115.0,10.0,1.0
EB+15,69,8,285.0,10.0,1.0
EB+18,72,16,345.0,20.0,1.0
EB+13,67,21,260.0,30.0,1.0
EB+03,57,32,45.0,40.0,1.0
EB+03,57,33,60.0,45.0,1.0
EB+10,64,34,195.0,45.0,1.0
EB+09,63,42,175.0,55.0,1.0
EB+03,57,47,50.0,60.0,1.0
EB+07,61,47,130.0,60.0,1.0
EB+18,72,60,345.0,75.0,1.0
EB+09,63,67,170.0,85.0,1.0
EB+12,66,68,225.0,85.0,1.0
EB+18,72,65,360.0,85.0,1.0
EE-05,15,32,51.0,26.0,1.0
EE-05,15,32,52.0,26.0,1.0
EE-05,15,32,53.0,26.0,1.0
EE-05,15,32,54.0,26.0,1.0
EE-05,15,32,55.0,26.0,1.0
EE-05,15,28,56.0,26.0,1.0
EE-05,15,32,51.0,27.0,1.0
EE-05,15,32,52.0,27.0,1.0
EE-05,15,32,53.0,27.0,1.0
EE-05,15,32,54.0,27.0,1.0
EE-05,15,32,55.0,27.0,1.0
EE-05,15,28,56.0,27.0,1.0
EE-05,15,32,51.0,28.0,1.0
EE-05,15,32,52.0,28.0,1.0
EE-05,15,32,53.0,28.0,1.0
EE-05,15,32,54.0,28.0,1.0
EE-05,15,32,55.0,28.0,1.0
EE-05,15,28,56.0,28.0,1.0
EE-04,13,8,37.0,29.0,1.0
EE-04,13,8,38.0,29.0,1.0
EE-05,15,32,51.0,29.0,1.0
EE-05,15,32,52.0,29.0,1.0
EE-05,15,32,53.0,29.0,1.0
EE-05,15,32,54.0,29.0,1.0
EE-05,15,32,55.0,29.0,1.0
EE-05,15,28,56.0,29.0,1.0
EE-04,13,8,36.0,30.0,1.0
EE-04,13,8,37.0,30.0,1.0
EE-04,13,8,38.0,30.0,1.0
EE-05,15,32,51.0,30.0,1.0
EE-05,15,32,52.0,30.0,1.0
EE-05,15,32,53.0,30.0,1.0
EE-05,15,32,54.0,30.0,1.0
EE-05,15,32,55.0,30.0,1.0
EE-05,15,28,56.0,30.0,1.0
EE-04,13,4,37.0,31.0,1.0
EE-04,13,4,38.0,31.0,1.0
EE-04,13,4,39.0,31.0,1.0
EE-05,15,31,51.0,31.0,1.0
EE-05,15,31,52.0,31.0,1.0
EE-05,15,31,53.0,31.0,1.0
EE-04,13,4,38.0,32.0,1.0
EE-04,13,4,39.0,32.0,1.0
EE-05,15,31,51.0,32.0,1.0
EE-05,15,31,52.0,32.0,1.0
EE-05,15,31,53.0,32.0,1.0
EE-05,15,31,51.0,33.0,1.0
EE-05,15,31,52.0,33.0,1.0
EE-05,15,31,53.0,33.0,1.0
EE-05,15,31,54.0,33.0,1.0
EE-08,21,10,88.0,73.0,1.0
EE-08,21,10,89.0,73.0,1.0
EE-08,21,10,87.0,74.0,1.0
EE-08,21,10,88.0,74.0,1.0
EE-08,21,10,89.0,74.0,1.0
EE-08,21,10,90.0,74.0,1.0
EE-08,21,10,87.0,75.0,1.0
EE-08,21,10,88.0,75.0,1.0
EE-08,21,10,89.0,75.0,1.0
EE-08,21,10,90.0,75.0,1.0
EE-08,21,6,86.0,76.0,1.0
EE-08,21,6,87.0,76.0,1.0
EE-08,21,6,88.0,76.0,1.0
EE-08,21,6,89.0,76.0,1.0
EE-08,21,6,90.0,76.0,1.0
EE-08,21,5,85.0,77.0,1.0
EE-08,21,6,86.0,77.0,1.0
EE-08,21,6,87.0,77.0,1.0
EE-08,21,6,88.0,77.0,1.0
EE-08,21,6,89.0,77.0,1.0
EE-08,21,6,90.0,77.0,1.0
EE-08,21,5,84.0,78.0,1.0
EE-08,21,5,85.0,78.0,1.0
EE-08,21,6,86.0,78.0,1.0
EE-08,21,6,87.0,78.0,1.0
EE-08,21,6,88.0,78.0,1.0
EE-08,21,6,89.0,78.0,1.0
EE-08,21,6,90.0,78.0,1.0
EE-08,21,25,91.0,78.0,1.0
EE-08,21,5,84.0,79.0,1.0
EE-08,21,5,85.0,79.0,1.0
EE-08,21,6,86.0,79.0,1.0
EE-08,21,6,87.0,79.0,1.0
EE-08,21,6,88.0,79.0,1.0
EE-08,21,6,89.0,79.0,1.0
EE-08,21,6,90.0,79.0,1.0
EE-08,21,25,91.0,79.0,1.0
EE-08,21,25,92.0,79.0,1.0
EE-08,21,6,86.0,80.0,1.0
EE-08,21,6,87.0,80.0,1.0
EE-08,21,6,88.0,80.0,1.0
EE-08,21,6,89.0,80.0,1.0
EE-08,21,6,90.0,80.0,1.0
EE-08,21,25,91.0,80.0,1.0
EE-08,21,25,92.0,80.0,1.0
EE+05,87,17,51.0,1.0,1.0
EE+05,87,17,52.0,1.0,1.0
EE+05,87,17,53.0,1.0,1.0
EE+05,87,17,54.0,1.0,1.0
EE+05,87,17,55.0,1.0,1.0
EE+05,87,17,51.0,2.0,1.0
EE+05,87,17,52.0,2.0,1.0
EE+05,87,17,53.0,2.0,1.0
EE+05,87,17,54.0,2.0,1.0
EE+05,87,17,55.0,2.0,1.0
EE+05,87,17,51.0,3.0,1.0
EE+05,87,17,52.0,3.0,1.0
EE+05,87,17,53.0,3.0,1.0
EE+05,87,17,54.0,3.0,1.0
EE+05,87,17,55.0,3.0,1.0
EE+05,87,17,51.0,4.0,1.0
EE+05,87,17,52.0,4.0,1.0
EE+05,87,17,53.0,4.0,1.0
EE+05,87,17,54.0,4.0,1.0
EE+05,87,17,55.0,4.0,1.0
EE+05,87,17,51.0,5.0,1.0
EE+05,87,17,52.0,5.0,1.0
EE+05,87,17,53.0,5.0,1.0
EE+05,87,17,54.0,5.0,1.0
EE+05,87,17,55.0,5.0,1.0
EE+05,87,16,51.0,6.0,1.0
EE+05,87,16,52.0,6.0,1.0
EE+05,87,16,53.0,6.0,1.0
EE+05,87,16,52.0,7.0,1.0
EE+05,87,16,53.0,7.0,1.0
EE+04,85,28,31.0,11.0,1.0
EE+04,85,28,32.0,11.0,1.0
EE+04,85,28,33.0,11.0,1.0
EE+04,85,28,34.0,11.0,1.0
EE+04,85,28,35.0,11.0,1.0
EE+04,85,28,31.0,12.0,1.0
EE+04,85,28,32.0,12.0,1.0
EE+04,85,28,33.0,12.0,1.0
EE+04,85,28,34.0,12.0,1.0
EE+04,85,28,35.0,12.0,1.0
EE+04,85,30,29.0,13.0,1.0
EE+04,85,30,30.0,13.0,1.0
EE+04,85,28,31.0,13.0,1.0
EE+04,85,28,32.0,13.0,1.0
EE+04,85,28,33.0,13.0,1.0
EE+04,85,28,34.0,13.0,1.0
EE+04,85,28,35.0,13.0,1.0
EE+05,85,25,36.0,13.0,1.0
EE+05,85,25,37.0,13.0,1.0
EE+04,85,30,29.0,14.0,1.0
EE+04,85,30,30.0,14.0,1.0
EE+04,85,28,31.0,14.0,1.0
EE+04,85,28,32.0,14.0,1.0
EE+04,85,28,33.0,14.0,1.0
EE+04,85,28,34.0,14.0,1.0
EE+04,85,28,35.0,14.0,1.0
EE+05,85,25,36.0,14.0,1.0
EE+04,85,30,30.0,15.0,1.0
EE+04,85,28,31.0,15.0,1.0
EE+04,85,28,32.0,15.0,1.0
EE+04,85,28,33.0,15.0,1.0
EE+04,85,28,34.0,15.0,1.0
EE+04,85,28,35.0,15.0,1.0
EE+05,85,25,36.0,15.0,1.0
EE+05,85,25,37.0,15.0,1.0
EE+04,85,23,31.0,16.0,1.0
EE+04,85,23,32.0,16.0,1.0
EE+04,85,23,33.0,16.0,1.0
EE+04,85,23,34.0,16.0,1.0
EE+04,85,23,35.0,16.0,1.0
EE+04,85,22,36.0,16.0,1.0
EE+04,85,22,37.0,16.0,1.0
EE+04,85,22,38.0,16.0,1.0
EE+04,85,23,31.0,17.0,1.0
EE+04,85,23,32.0,17.0,1.0
EE+04,85,23,33.0,17.0,1.0
EE+04,85,23,34.0,17.0,1.0
EE+04,85,23,35.0,17.0,1.0
EE+04,85,22,36.0,17.0,1.0
EE+04,85,22,37.0,17.0,1.0
EE+04,85,24,30.0,18.0,1.0
EE+04,85,23,31.0,18.0,1.0
EE+04,85,23,32.0,18.0,1.0
EE+04,85,23,33.0,18.0,1.0
EE+04,85,23,34.0,18.0,1.0
EE+04,85,23,35.0,18.0,1.0
EE+04,85,24,29.0,19.0,1.0
EE+04,85,24,30.0,19.0,1.0
EE+04,85,23,31.0,19.0,1.0
EE+04,85,23,32.0,19.0,1.0
EE+04,85,23,33.0,19.0,1.0
EE+04,85,23,34.0,19.0,1.0
EE+04,103,23,35.0,19.0,1.0
EE+04,85,24,29.0,20.0,1.0
EE+04,85,24,30.0,20.0,1.0
EE+04,85,23,31.0,20.0,1.0
EE+04,103,23,32.0,20.0,1.0
EE+04,103,23,33.0,20.0,1.0
EE+04,103,23,34.0,20.0,1.0
EE+04,103,23,35.0,20.0,1.0
EE+04,103,16,33.0,21.0,1.0
EE+04,103,16,34.0,21.0,1.0
EE+04,103,16,35.0,21.0,1.0
EE+04,103,16,34.0,22.0,1.0
EE+04,103,16,35.0,22.0,1.0
EE+05,105,8,53.0,29.0,1.0
EE+05,105,8,54.0,29.0,1.0
EE+05,105,8,53.0,30.0,1.0
EE+05,105,8,54.0,30.0,1.0
EE+05,105,8,55.0,30.0,1.0
EE+05,105,7,53.0,31.0,1.0
EE+05,105,7,52.0,32.0,1.0
EE+05,105,7,53.0,32.0,1.0
EE+05,105,7,53.0,33.0,1.0
EE+05,105,7,54.0,33.0,1.0
EE+03,100,12,26.0,47.0,1.0
EE+03,100,12,27.0,47.0,1.0
EE+03,100,12,26.0,48.0,1.0
EE+03,100,12,27.0,48.0,1.0
EE+03,100,12,28.0,48.0,1.0
EE+03,100,11,34.0,48.0,1.0
EE+03,100,11,34.0,49.0,1.0
EE+03,100,11,35.0,49.0,1.0
EE+03,100,11,34.0,50.0,1.0
EE+03,100,11,35.0,50.0,1.0
EE+02,97,18,40.0,63.0,1.0
EE+01,97,16,42.0,63.0,1.0
EE+02,97,18,39.0,64.0,1.0
EE+02,97,18,40.0,64.0,1.0
EE+01,97,16,41.0,64.0,1.0
EE+01,97,16,42.0,64.0,1.0
EE+02,97,18,39.0,65.0,1.0
EE+02,97,18,40.0,65.0,1.0
EE+01,97,16,41.0,65.0,1.0
EE+01,97,16,42.0,65.0,1.0
EE+08,75,8,78.0,74.0,1.0
EE+08,75,8,79.0,74.0,1.0
EE+08,75,8,77.0,75.0,1.0
EE+08,75,8,78.0,75.0,1.0
EE+08,75,8,79.0,75.0,1.0
EE+09,95,9,52.0,76.0,1.0
EE+09,95,9,53.0,76.0,1.0
EE+09,95,9,54.0,76.0,1.0
EE+09,95,9,55.0,76.0,1.0
EE+08,75,4,76.0,76.0,1.0
EE+08,75,4,77.0,76.0,1.0
EE+08,75,4,78.0,76.0,1.0
EE+08,75,4,79.0,76.0,1.0
EE+08,75,4,80.0,76.0,1.0
EE+08,75,5,81.0,76.0,1.0
EE+08,75,5,82.0,76.0,1.0
EE+09,95,9,53.0,77.0,1.0
EE+09,95,9,54.0,77.0,1.0
EE+09,95,9,55.0,77.0,1.0
EE+09,75,29,75.0,77.0,1.0
EE+08,75,4,76.0,77.0,1.0
EE+08,75,4,77.0,77.0,1.0
EE+08,75,4,78.0,77.0,1.0
EE+08,75,4,79.0,77.0,1.0
EE+08,75,4,80.0,77.0,1.0
EE+08,75,5,81.0,77.0,1.0
EE+08,75,5,82.0,77.0,1.0
EE+09,95,9,53.0,78.0,1.0
EE+09,95,9,54.0,78.0,1.0
EE+09,95,9,55.0,78.0,1.0
EE+09,75,29,74.0,78.0,1.0
EE+09,75,29,75.0,78.0,1.0
EE+08,75,4,76.0,78.0,1.0
EE+08,75,4,77.0,78.0,1.0
EE+08,75,4,78.0,78.0,1.0
EE+08,75,4,79.0,78.0,1.0
EE+08,75,4,80.0,78.0,1.0
EE+08,75,5,81.0,78.0,1.0
EE+08,75,5,82.0,78.0,1.0
EE+08,75,5,83.0,78.0,1.0
EE+02,80,4,22.0,79.0,1.0
EE+02,80,4,23.0,79.0,1.0
EE+09,75,29,74.0,79.0,1.0
EE+09,75,29,75.0,79.0,1.0
EE+08,75,4,76.0,79.0,1.0
EE+08,75,4,77.0,79.0,1.0
EE+08,75,4,78.0,79.0,1.0
EE+08,75,4,79.0,79.0,1.0
EE+08,75,4,80.0,79.0,1.0
EE+08,75,5,81.0,79.0,1.0
EE+08,75,5,82.0,79.0,1.0
EE+02,80,4,22.0,80.0,1.0
EE+02,80,4,23.0,80.0,1.0
EE+02,80,4,24.0,80.0,1.0
EE+08,75,4,76.0,80.0,1.0
EE+08,75,4,77.0,80.0,1.0
EE+08,75,4,78.0,80.0,1.0
EE+08,75,4,79.0,80.0,1.0
EE+08,75,4,80.0,80.0,1.0
EE+08,75,5,81.0,80.0,1.0
EE+02,80,1,21.0,81.0,1.0
EE+02,80,1,22.0,81.0,1.0
EE+02,80,1,23.0,81.0,1.0
EE+02,80,1,24.0,81.0,1.0
EE+02,80,1,25.0,81.0,1.0
EE+08,75,1,76.0,81.0,1.0
EE+08,75,1,77.0,81.0,1.0
EE+08,75,1,78.0,81.0,1.0
EE+08,75,1,79.0,81.0,1.0
EE+08,75,1,80.0,81.0,1.0
EE+02,80,1,22.0,82.0,1.0
EE+02,80,1,23.0,82.0,1.0
EE+02,80,1,24.0,82.0,1.0
EE+02,80,1,25.0,82.0,1.0
EE+09,95,8,57.0,82.0,1.0
EE+09,95,8,58.0,82.0,1.0
EE+09,95,8,59.0,82.0,1.0
EE+08,75,1,76.0,82.0,1.0
EE+08,75,1,77.0,82.0,1.0
EE+08,75,1,78.0,82.0,1.0
EE+08,75,1,79.0,82.0,1.0
EE+02,80,1,23.0,83.0,1.0
EE+01,96,8,45.0,83.0,1.0
EE+01,96,4,46.0,83.0,1.0
EE+09,95,8,57.0,83.0,1.0
EE+09,95,8,58.0,83.0,1.0
EE+09,95,8,59.0,83.0,1.0
EE+08,75,1,78.0,83.0,1.0
EE+01,96,8,44.0,84.0,1.0
EE+01,96,8,45.0,84.0,1.0
EE+01,96,4,46.0,84.0,1.0
EE+01,96,4,47.0,84.0,1.0
EE+09,95,8,58.0,84.0,1.0
EE+09,95,8,59.0,84.0,1.0
EE+01,96,8,44.0,85.0,1.0
EE+01,96,8,45.0,85.0,1.0
EE+01,96,4,46.0,85.0,1.0
EE+01,96,4,47.0,85.0,1.0
EE+09,95,8,58.0,85.0,1.0
EE+09,95,8,59.0,85.0,1.0
